id,species,height,dbh,xpos,ypos,condition
30469,Conifers,7.5,5.08,94,53,fair
28796,Conifers,6,2.54,65,59,good
32778,Conifers,16.5,12.7,93,53,excellent
21947,Conifers,21.0,17.78,93,50,fair
22883,Conifers,21.0,17.78,93,50,good
23052,Conifers,21.0,17.78,93,50,excellent
25001,Conifers,10.5,7.62,93,50,fair
25324,Conifers,16.5,12.7,93,50,good
25673,Conifers,21.0,17.78,93,50,excellent
25803,Conifers,16.5,12.7,93,50,fair
25806,Conifers,21.0,17.78,93,50,good
26005,Conifers,16.5,12.7,93,50,excellent
26682,Conifers,21.0,17.78,94,56,fair
27159,Conifers,21.0,17.78,93,50,good
27160,Conifers,24,20.32,93,50,excellent
27438,Conifers,21.0,17.78,94,56,fair
27465,Conifers,7.5,5.08,93,50,good
28239,Conifers,21.0,17.78,93,50,excellent
28240,Conifers,21.0,17.78,93,50,fair
28568,Conifers,13.5,10.16,93,50,good
28603,Conifers,24,20.32,93,49,excellent
29303,Conifers,21.0,17.78,93,50,fair
30409,Conifers,21.0,17.78,93,50,good
31373,Conifers,21.0,17.78,93,50,excellent
32548,Conifers,24,20.32,93,50,fair
32549,Conifers,24,20.32,93,50,good
32660,Conifers,21.0,17.78,93,49,excellent
33667,Conifers,21.0,17.78,93,50,fair
33668,Conifers,24,20.32,93,50,good
33845,Conifers,16.5,12.7,93,50,excellent
33846,Conifers,21.0,17.78,93,50,fair
33981,Conifers,21.0,17.78,93,50,good
34008,Conifers,21.0,17.78,93,50,excellent
39201,Conifers,7.5,5.08,84,69,fair
39202,Conifers,7.5,5.08,84,69,good
115738,Conifers,13.5,10.16,118,75,excellent
116040,Conifers,7.5,5.08,117,75,fair
146183,Conifers,10.5,7.62,115,138,good
146393,Conifers,10.5,7.62,115,138,excellent
146394,Conifers,10.5,7.62,115,138,fair
162245,Conifers,7.5,5.08,114,139,good
162246,Conifers,7.5,5.08,114,139,excellent
162247,Conifers,7.5,5.08,114,139,fair
172962,Conifers,13.5,10.16,129,131,good
180929,Conifers,6,2.54,41,78,excellent
243262,Conifers,7.5,5.08,66,86,fair
255286,Conifers,7.5,5.08,47,115,good
257466,Conifers,7.5,5.08,114,139,excellent
257502,Conifers,10.5,7.62,115,138,fair
258107,Conifers,7.5,5.08,146,18,good
258317,Conifers,10.5,7.62,115,138,excellent
258318,Conifers,10.5,7.62,115,138,fair
4245,Conifers,6,2.54,121,70,good
4246,Conifers,6,2.54,121,70,excellent
4247,Conifers,6,2.54,121,70,fair
29844,Conifers,6,2.54,65,72,good
65421,Conifers,6,2.54,130,40,excellent
65422,Conifers,6,2.54,130,40,fair
65423,Conifers,7.5,5.08,130,40,good
92317,Conifers,6,2.54,63,118,excellent
160073,Conifers,10.5,7.62,21,78,fair
5594,Conifers,6,2.54,147,19,good
5595,Conifers,6,2.54,147,19,excellent
5596,Conifers,7.5,5.08,147,19,fair
5597,Conifers,6,2.54,147,19,good
18531,Conifers,10.5,7.62,65,72,excellent
200362,Conifers,9.0,7.62,32,101,fair
215995,Conifers,7.5,5.08,179,28,good
243388,Conifers,6,2.54,161,41,excellent
247437,Conifers,10.5,7.62,21,122,fair
